city,date,temp_max,temp_min
Phoenix,2025-06-21,39.398,37.004
Phoenix,2025-06-22,38.696,36.698
Phoenix,2025-06-23,39.2,36.806
Phoenix,2025-06-24,39.308,36.896
Phoenix,2025-06-25,39.092,36.698
Phoenix,2025-06-26,39.308,36.896
Phoenix,2025-06-27,39.506,37.004
Phoenix,2025-06-28,39.704,37.508
Phoenix,2025-06-29,40.208,37.508
Phoenix,2025-06-30,40.406,37.796
Phoenix,2025-07-01,39.992,38.102
Phoenix,2025-07-02,39.704,36.608
Phoenix,2025-07-03,39.002,36.608
Phoenix,2025-07-04,39.092,37.004
Phoenix,2025-07-05,39.506,37.4
Phoenix,2025-07-06,39.794,37.4
Phoenix,2025-07-07,39.902,37.903999999999996
Seattle,2025-04-11,34.304,33.008
Seattle,2025-04-12,34.304,32.9
Seattle,2025-04-13,34.898,32.504
Seattle,2025-04-14,35.492,33.098
Seattle,2025-04-15,35.402,33.404
Seattle,2025-04-16,34.898,33.296
Seattle,2025-04-17,35.294,33.098
Seattle,2025-04-18,35.906,33.098
Seattle,2025-04-19,34.7,33.494
Seattle,2025-04-20,34.592,33.296
Seattle,2025-04-21,34.502,33.098
Seattle,2025-04-22,34.808,32.792
Seattle,2025-04-23,35.402,33.098
Seattle,2025-04-24,35.996,33.098
Seattle,2025-04-25,35.906,33.494
Seattle,2025-04-26,35.006,33.404
Seattle,2025-04-27,34.592,33.206
Seattle,2025-04-28,34.304,33.404
Seattle,2025-04-29,34.7,33.494
Seattle,2025-04-30,34.898,33.098
Seattle,2025-05-01,36.392,33.098
Seattle,2025-05-02,35.708,33.8
Seattle,2025-05-03,34.502,33.296
Seattle,2025-05-04,34.898,33.008
Seattle,2025-05-05,35.798,33.008
Seattle,2025-05-06,36.5,33.602
Seattle,2025-05-07,35.402,33.404
Seattle,2025-05-08,35.096000000000004,33.098
Seattle,2025-05-09,35.798,33.206
Seattle,2025-05-10,35.096000000000004,33.692
Seattle,2025-05-11,35.006,33.692
Seattle,2025-05-12,35.492,33.296
Seattle,2025-05-13,34.808,33.602
Seattle,2025-05-14,35.006,33.692
Seattle,2025-05-15,34.394,33.206
Seattle,2025-05-16,34.7,33.602
Seattle,2025-05-17,35.006,33.602
Seattle,2025-05-18,35.006,33.296
Seattle,2025-05-19,34.898,33.494
Seattle,2025-05-20,34.808,33.494
Seattle,2025-05-21,35.006,33.692
Seattle,2025-05-22,35.6,33.692
Seattle,2025-05-23,35.492,33.692
Seattle,2025-05-24,36.392,33.494
Seattle,2025-05-25,35.708,33.8
Seattle,2025-05-26,35.492,33.908
Seattle,2025-05-27,36.302,33.602
Seattle,2025-05-28,36.896,34.196
Seattle,2025-05-29,35.708,34.196
Seattle,2025-05-30,36.5,33.8
Seattle,2025-05-31,35.204,33.998
Seattle,2025-06-01,35.492,33.494
Seattle,2025-06-02,35.906,33.602
Seattle,2025-06-03,36.194,33.908
Seattle,2025-06-04,35.492,34.196
Seattle,2025-06-05,36.5,33.908
Seattle,2025-06-06,36.698,34.502
Seattle,2025-06-07,36.896,34.304
Seattle,2025-06-08,37.796,34.898
Seattle,2025-06-09,37.508,34.898
Seattle,2025-06-10,36.896,34.106
Seattle,2025-06-11,35.708,33.908
Seattle,2025-06-12,35.402,33.908
Seattle,2025-06-13,35.204,33.8
Seattle,2025-06-14,35.6,33.692
Seattle,2025-06-15,35.906,33.998
Seattle,2025-06-16,36.194,33.8
Seattle,2025-06-17,36.104,33.8
Seattle,2025-06-18,35.708,34.304
Seattle,2025-06-19,35.708,33.8
Seattle,2025-06-20,35.096000000000004,33.908
Seattle,2025-06-21,34.592,33.8
Seattle,2025-06-22,35.6,34.106
Seattle,2025-06-23,36.5,34.106
Seattle,2025-06-24,36.806,34.196
Seattle,2025-06-25,35.906,34.196
Seattle,2025-06-26,35.402,34.304
Seattle,2025-06-27,35.708,34.304
Seattle,2025-06-28,36.302,34.304
Seattle,2025-06-29,36.806,34.304
Seattle,2025-06-30,37.508,34.808
Seattle,2025-07-01,37.508,34.592
Seattle,2025-07-02,36.302,34.196
Seattle,2025-07-03,35.708,34.106
Seattle,2025-07-04,36.194,34.304
Seattle,2025-07-05,36.302,34.106
Seattle,2025-07-06,36.698,34.502
Seattle,2025-07-07,37.292,34.592
